Timestamp,What is your program?,What is your gender?,What is your AGE as of your last birthday?,What is your HEIGHT (to the nearest centimetre)?,What is your WEIGHT (to the nearest kilogram)?,What was your AVERAGE MONTHLY SALARY (to the nearest $100) at your last full time employment prior to enrolling at BCIT?,What MONTHLY SALARY (to the nearest $100) would you EXPECT if you were to seek employment immediately after obtaining your diploma?,"After graduation, for which one of the following TYPES OF ORGANIZATION would you most prefer to work?",Do you LIVE WITH YOUR PARENTS? ,What are your MONTHLY EXPENSES for FOOD and LODGING?,What MODE of TRANSPORT do you use most often to get to and from BCIT?,What is your COST per MONTH for TRANSPORTATION to and from BCIT?,What is your COST per MONTH for ENTERTAINMENT?,"Are you right-handed, Left-handed or ambidextrous?",What is your COST per MONTH for your CELL PHONE?,Do you SMOKE cigarettes? ,What is your foot size in INCHES?,How many alcoholic drinks do you have per week?,Do you have a tattoo?,"On average, how many hours per night do you sleep?",How much time in hours do you spend each week on social netorking sites?,How many hours per week do you spend studying/doing homework?,How many hours a week are you working (part-time or full-time employment) outside of BCIT?,Have you traveled outside of North America?,Do you pay entirely for your own tuition?,How many cups of coffee do you drink on average each day?,BMI
2019/02/08 10:33:40 am GMT-8,BMGT,Male,22,178.0,77.0,300.0,5000.0,1. Large Corporation,No,2000.0,2. Public Transport,50.0,50.0,2. Ambidextrous,50.0,No,25,0,No,8,30,4,8,Yes,No,1.0,24.302487059714682
2019/02/08 10:34:23 am GMT-8,BMGT,Male,29,185.0,98.0,0.0,5000.0,2. Small Company,No,2200.0,3. Drive,150.0,130.0,0. Right-handed,70.0,No,,0,No,6,6,5,10,Yes,Yes,1.0,28.634039444850252
2019/02/08 10:37:20 am GMT-8,BMGT,Male,23,176.0,83.0,2500.0,5000.0,3. Non-profit or Government Agency,No,2000.0,3. Drive,,200.0,2. Ambidextrous,120.0,Yes,10.5,0,No,5,12,30,8,Yes,No,2.0,26.794938016528928
2019/02/08 10:38:29 am GMT-8,BMGT,Female,30,158.0,56.0,2600.0,3200.0,2. Small Company,Yes,2000.0,2. Public Transport,40.0,,0. Right-handed,60.0,No,14,4,Yes,6.5,10,14,3,Yes,Yes,0.0,22.432302515622492
2019/02/08 10:40:15 am GMT-8,BMGT,non binary,19,175.0,75.0,2500.0,6000.0,1. Large Corporation,Yes,500.0,2. Public Transport,40.0,100.0,0. Right-handed,100.0,No,10.6,2,Yes,5,3,1,60,Yes,Yes,1.0,24.489795918367346
2019/02/08 10:40:39 am GMT-8,BMGT,Female,24,165.0,52.0,3750.0,5000.0,1. Large Corporation,Yes,200.0,3. Drive,,210.0,0. Right-handed,85.0,No,10.25,0,No,8,3,25,0,Yes,No,0.0,19.100091827364558
2019/02/08 10:42:24 am GMT-8,BMGT,Male,46,,90.0,,5000.0,1. Large Corporation,No,3500.0,2. Public Transport,0.0,,0. Right-handed,,Yes,10.2,3,No,7,0,10,0,Yes,Yes,3.0,
2019/02/08 10:42:25 am GMT-8,BMGT,Female,28,158.0,57.0,2800.0,4000.0,1. Large Corporation,Yes,500.0,2. Public Transport,0.0,100.0,0. Right-handed,75.0,No,9,1,No,7,4,25,0,Yes,Yes,1.0,22.832879346258608
2019/02/08 10:45:55 am GMT-8,BMGT,Male,20,182.0,80.0,0.0,3750.0,2. Small Company,Yes,300.0,3. Drive,100.0,100.0,0. Right-handed,50.0,No,10.35,8,No,6,12,15,0,Yes,No,2.0,24.151672503320853
2019/02/08 10:48:56 am GMT-8,BMGT,Male,24,180.0,81.0,2560.0,3520.0,2. Small Company,No,900.0,2. Public Transport,80.0,400.0,0. Right-handed,80.0,No,10.5,15,Yes,5.5,Too much.,12,10,Yes,No,1.0,25.0
